id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18050724,Prefect 2 bed flat in the heart of Edinburgh,124223862,Hussain,,Leith (Albert Street),55.96253,-3.1748,Entire home/apt,150,1,14,2019-06-09,0.52,1,362
18055002,Festival Let - Double Room in Townhouse,26691631,Rebecca,,Boswall and Pilton,55.97232,-3.22547,Private room,27,5,5,2017-08-31,0.21,1,0
18057941,"5* Modern Secure Flat, good location, FREE parking",124291633,Margo,,Slateford and Chesser,55.93168,-3.23742,Entire home/apt,52,2,43,2019-06-23,1.70,1,172
18064621,Edinburgh City Luxury Apartment Spectrum,49205818,Arshad,,Great Junction Street,55.97018,-3.17811,Entire home/apt,100,2,1,2018-06-18,0.08,3,351
18064889,Bright room in recently renovated house,101731795,Mike,,"Blackford, West Mains and Mayfield Road",55.92801,-3.16888,Private room,25,1,207,2019-06-23,7.73,8,101
18065761,Incredible Castle View Apartment,89497304,My Apartments,,"Old Town, Princes Street and Leith Street",55.94896,-3.19728,Entire home/apt,375,2,2,2019-01-19,0.08,8,220
18070098,Lovely double bedroom w/ bathroom,110407988,David,,Boswall and Pilton,55.97323,-3.22905,Private room,42,1,16,2019-05-26,0.60,1,361
18070250,"Leith, 1BD newly decorated flat!",94386401,Marie,,Trinity East and The Dudleys,55.97492,-3.18529,Entire home/apt,70,2,7,2017-08-28,0.30,1,0
18070842,"Spacious Flat, Perfect for Summer - Sleeps 6",122711123,Paul,,Bruntsfield,55.93621,-3.21063,Entire home/apt,70,3,21,2018-08-30,0.87,1,3
18070901,Exclusive Family Home near The Meadows,49155554,Lynn,,The Grange,55.93406,-3.18228,Entire home/apt,275,3,8,2019-05-27,0.35,2,50
18074796,Wooden attic with amazing city views,29147335,Daphne,,Polwarth,55.93843,-3.21969,Entire home/apt,40,2,5,2019-01-03,0.19,1,159
18075464,Comfy double bed in a friendly flat!,103588432,Rosemary,,Polwarth,55.93942,-3.22207,Private room,21,2,45,2018-04-04,1.67,2,0
18075727,Double bedroom  near Edinburgh City Centre,89466459,Anne,,Clermiston and Drumbrae,55.95883,-3.29979,Private room,32,3,25,2019-05-23,1.01,2,332
18076430,Close to Everything | Spacious Room @ City Center,34165966,Vėjas,,Meadows and Southside,55.93919,-3.17992,Private room,37,3,1,2017-04-16,0.04,1,0
18084836,Huge Central Apartment,122068149,Liz,,Hillside and Calton Hill,55.95866,-3.17742,Entire home/apt,95,2,0,,,1,0
18085236,Modern Southside Double Room,124541580,Lawrie,,Prestonfield,55.93423,-3.15644,Private room,24,2,87,2019-06-17,3.28,1,8
18088297,Relaxed inviting Flat-Fettes Village (Shared flat),98608517,David,,"Inverleith, Goldenacre and Warriston",55.96793,-3.22837,Private room,31,2,75,2019-06-01,2.80,1,132
18093085,"Mint Room - In the Heart of Edinburgh, Old Town",124607490,Anya,,"Old Town, Princes Street and Leith Street",55.94844,-3.18767,Private room,40,1,49,2019-06-16,1.88,1,18
18098937,Beautiful & Stylish Apartment in Edinburgh,6061795,Susan,,Trinity East and The Dudleys,55.9737,-3.19757,Entire home/apt,75,30,18,2018-09-14,0.67,3,365
18103633,"Double room in central, vegetarian flat",124697817,Holly,,Broughton North and Powderhall,55.96523,-3.19032,Private room,50,2,27,2019-06-23,1.10,1,37
18113720,Colinton home by Bonaly Burn,124544276,Roza,,Bonaly and The Pentlands,55.90035,-3.25056,Private room,21,2,6,2018-09-02,0.27,1,306
18116165,Ferni House,124813839,Katarzyna,,Fernieside and Moredun South,55.91126,-3.13325,Private room,30,3,2,2018-05-28,0.10,5,97
18124765,Luxury apartment-Heart of Edinburgh,124907397,Zeeshan,,Meadows and Southside,55.94565,-3.18988,Entire home/apt,78,4,13,2017-08-31,0.49,1,0
18129731,Bright  Cosy Double Room in lovely Victorian House,47912944,Tricia,,Newington and Dalkeith Road,55.93766,-3.17235,Private room,45,3,63,2019-06-15,2.76,1,37
18130243,Abbeyhill modern 4 bed flat nearby Holyrood Park,79228597,Christine,,Meadowbank and Abbeyhill North,55.95757,-3.16393,Entire home/apt,120,2,37,2019-04-27,1.59,2,0
18131223,Cozy double bedroom in a waterfront flat in Leith,4987581,Ann,,The Shore and Constitution Street,55.97665,-3.16996,Private room,34,2,72,2019-01-02,2.68,1,0
18131310,Spacious and comfy double room,85441118,Grant,,Craigentinny,55.95797,-3.12462,Private room,50,2,16,2019-06-10,0.67,1,324
18131974,"Bright double bedroom in Leith, Edinburgh",124973216,Michael,,Great Junction Street,55.9721,-3.17133,Private room,30,2,71,2018-09-03,2.99,1,0
18134694,Holyrood Apartment,24645971,Judith,,"Canongate, Southside and Dumbiedykes",55.94952,-3.17743,Entire home/apt,79,6,4,2018-08-26,0.35,1,2
18135850,Stay in a converted Victorian Hospital from 1897!,13027070,Steven,,Great Junction Street,55.97403,-3.17674,Private room,70,1,0,,,1,0
18137125,Cosy Twin Beds Room by the Meadows,125025940,Adrianna And Adam,,Tollcross,55.9405,-3.20422,Private room,39,2,173,2019-06-11,6.47,2,49
18137210,Classical Scottish Apartment: Large Private Room.,88449027,Peter,,Newington and Dalkeith Road,55.94131,-3.17743,Private room,39,2,138,2019-06-19,5.56,1,101
18138018,City centre holiday apartment (Sleeps 5,104755474,Matin,,Tollcross,55.94389,-3.20365,Entire home/apt,69,1,124,2019-06-15,5.14,3,120
18143964,"Delightful holiday home, 2 beds, free parking",123151585,Mohamed,,Pilrig,55.96679,-3.18122,Entire home/apt,80,3,13,2017-08-26,0.51,1,0
18144580,Edinburgh close to local parks/walks and transport,125104650,Helen,,Comiston and Swanston,55.90945,-3.2173,Private room,80,1,0,,,1,0
18146415,Modern Apartment With Private Terrace (离王子街步行15分钟),45157764,Iain,,Broughton North and Powderhall,55.96443,-3.19536,Entire home/apt,100,2,77,2019-06-16,3.10,1,306
18148866,Private room in a friendly 2nd-floor flat in Leith,66608179,Colin,,South Leith,55.9679,-3.16904,Private room,40,1,19,2019-06-23,1.75,1,35
18148952,Beautiful Bright Two Bed Apartment,125138968,Anna,,The Grange,55.93419,-3.18033,Entire home/apt,100,2,9,2018-12-28,0.37,1,0
18150152,Ferni House,124813839,Katarzyna,,Fernieside and Moredun South,55.91144,-3.1336,Private room,25,3,3,2017-05-08,0.11,5,0
18153699,"Cosy, comfy, homely traditional tenement flat",125180363,Gretel,,Gorgie East,55.94141,-3.22548,Entire home/apt,60,2,120,2019-06-12,4.49,1,0
18155957,Charming Central apartment,42058250,Kay,,Leith (Albert Street),55.96399,-3.17563,Entire home/apt,90,2,3,2017-07-16,0.12,1,180
18156825,Cozy 1 bed+boxroom flat in central location!,125216047,Bayanaa & Paul,,Hillside and Calton Hill,55.95951,-3.17021,Entire home/apt,60,2,77,2019-06-07,3.03,2,67
18157334,Artfully Refurbished Flat with a Garden in the Boho District,117091212,Dana,,New Town West,55.95785,-3.20653,Entire home/apt,110,2,24,2019-06-21,0.97,1,265
18158355,East End Apartment with Private Back Garden,55875406,Shane,,Willowbrae and Duddingston Village,55.95292,-3.14893,Entire home/apt,57,2,4,2017-08-18,0.17,2,0
18158854,"Bright room, great location, friendly hostess",125236579,Kwan Nga,,Bruntsfield,55.93659,-3.21021,Private room,45,2,2,2017-04-30,0.08,1,0
18167551,Central Flat 5 Minutes to Castle & Royal Mile,20964916,Olivia,,Tollcross,55.94493,-3.20422,Entire home/apt,400,1,110,2019-06-16,4.73,1,160
18167579,Brand New City Centre 3Bed: Free Parking & Lift!,3543432,Robert,,Leith (Albert Street),55.96169,-3.17463,Entire home/apt,120,2,92,2019-06-19,3.58,1,52
18171049,Funky Central Studio with Double Bunks - Sleeps 4,16964325,Remy,,"Old Town, Princes Street and Leith Street",55.9485,-3.18857,Entire home/apt,75,2,114,2019-06-12,4.31,1,95
18178534,"Beautiful, Modern Apartment - Free WiFi & Parking",113673644,Sarah,,Abbeyhill,55.95476,-3.16839,Entire home/apt,69,2,159,2019-06-17,6.01,1,32
18184398,"Stylish Two Bed, Bruntsfield Apartment, Edinburgh",7770499,Natalie,,Bruntsfield,55.93747,-3.21046,Entire home/apt,60,2,33,2019-06-21,1.38,1,144
18185193,Fair Mile Flat - Luxury Flat,77903558,Lucy,,Fairmilehead,55.90548,-3.20302,Entire home/apt,28,4,13,2019-04-25,0.52,2,32
18185816,Lovely private room very close to Royal Mile,460598,Zsuzsa,,"Canongate, Southside and Dumbiedykes",55.94773,-3.18207,Private room,47,2,86,2019-06-13,3.34,1,16
18188606,Clean room in garden apartment,84940500,Ross,,Merchiston and Greenhill,55.93664,-3.2162,Private room,45,1,102,2019-06-23,3.99,4,329
18190177,Central Location: 3 Bedrooms; 5 Double Beds,87404920,Danny,,Hillside and Calton Hill,55.95928,-3.17349,Entire home/apt,109,1,49,2019-06-21,2.13,7,297
18190533,"Twin room, freshly decorated",84940500,Ross,,Merchiston and Greenhill,55.9369,-3.21658,Private room,39,1,133,2019-06-25,5.30,4,310
18191728,Great double bedroom + private en-suite bathroom,125538406,Nicolas,,Canonmills and New Town North,55.95942,-3.20152,Private room,29,3,107,2019-06-11,4.00,2,136
18192035,Lovely Flat in Central Edinburgh on Buccleuch St,1730440,Sam,,Meadows and Southside,55.94342,-3.18363,Entire home/apt,107,2,10,2018-09-02,0.43,6,8
18194234,Quartermile Edinburgh,37552986,Jane,,Meadows and Southside,55.94423,-3.19412,Private room,55,2,13,2017-07-05,0.49,1,0
18196426,Dicksonfield Apartment - central & quiet location,22597535,Agnes & Philip,,Broughton South,55.96258,-3.17967,Entire home/apt,85,3,9,2019-02-10,0.34,14,88
18196954,Powderhall Apartment - quiet place near New Town,22597535,Agnes & Philip,,Broughton North and Powderhall,55.96746,-3.19145,Entire home/apt,190,3,9,2019-06-11,0.34,14,35
18204193,Ferni House,124813839,Katarzyna,,Fernieside and Moredun South,55.91043,-3.13205,Entire home/apt,125,3,20,2019-05-31,0.78,5,90
18209157,Bright Royal Mile Apartment,56445538,Karen,,"Old Town, Princes Street and Leith Street",55.95059,-3.18367,Entire home/apt,80,2,130,2019-06-19,5.05,1,43
18209404,A beautiful central flat with great amenities (SJ),28166815,Paula,,"Canongate, Southside and Dumbiedykes",55.948,-3.18055,Entire home/apt,80,1,54,2019-06-21,2.10,3,107
18210703,Gorgeous bedroom with double bed,13002203,Erika L,,Morningside,55.92924,-3.21075,Private room,35,2,28,2019-06-10,1.07,2,178
18218251,Beautiful sunny flat close to the meadows,7520676,Cristina,,Bruntsfield,55.93647,-3.21052,Entire home/apt,80,2,5,2018-10-01,0.20,2,1
18218879,PROPERTY PERMANENTLY UNAVAILABLE,100058536,Alicia,,Blackhall,55.95773,-3.24446,Private room,25,1,10,2018-01-03,0.42,1,0
18219533,Contemporary central comfort,125537003,Sarah,,Broughton South,55.96405,-3.18587,Entire home/apt,180,2,4,2018-08-13,0.27,1,0
18220547,The Hayloft - Studio with free parking,1641675,Charmaine,,The Grange,55.93656,-3.19247,Entire home/apt,197,2,2,2018-11-10,0.08,74,134
18221071,Beautiful Traditional Edinburgh Home - 3 Bedrooms,47562784,Chris,,Polwarth,55.93671,-3.22002,Entire home/apt,90,2,22,2019-06-09,1.76,1,173
18226030,"Georgian family home, breakfast & parking",125878889,Anne,,North Leith and Newhaven,55.97682,-3.18382,Private room,55,3,14,2019-05-27,0.62,1,26
18226306,Edinburgh Apartment in Historic Cramond,125749346,Phil,,Cramond,55.9746,-3.30407,Entire home/apt,75,2,58,2019-06-22,2.42,1,213
18232660,Luxury room en-suite shower & private parking,24217323,Anouk,,"Blackford, West Mains and Mayfield Road",55.92523,-3.16659,Private room,58,1,48,2019-06-23,1.83,4,205
18232780,Bedroom in elegant Georgian flat centre Edinburgh,60967600,Françoise,,New Town East and Gayfield,55.95776,-3.1932,Private room,75,2,7,2017-08-22,0.27,1,0
18232935,"Balcony flat with beautiful views, Edinburgh",125945406,Alan,,Broughton South,55.96336,-3.18577,Entire home/apt,60,3,81,2019-06-21,3.90,1,82
18233900,The Hart Street Residence No.2,646220,Reserve,,New Town East and Gayfield,55.95805,-3.18707,Entire home/apt,166,2,9,2018-08-18,0.36,90,279
18234517,The Webstersland Residence,646220,Reserve,,"Old Town, Princes Street and Leith Street",55.94711,-3.19987,Entire home/apt,131,2,3,2018-09-08,0.19,90,323
18248021,"Stunning huge New Town Georgian Flat, city centre",40820544,Clyde,,New Town West,55.95532,-3.20299,Entire home/apt,195,2,6,2018-08-27,0.27,2,30
18252499,Stockbridge Retreat in St. Bernard's Row,13152945,William,,Stockbridge,55.9599,-3.21055,Entire home/apt,76,2,79,2019-06-10,3.05,6,47
18253545,Cosy garden flat near Castle & great restaurants,34719034,Kate,,Marchmont East and Sciennes,55.9386,-3.19101,Entire home/apt,50,2,98,2019-06-23,3.89,2,68
18254906,"Georgian Apartment in Carlton St, Stockbridge.",126163771,Yvonne,,Stockbridge,55.95682,-3.2118,Entire home/apt,80,2,64,2019-06-08,2.63,1,12
18260501,Villa with a View,126215384,Dean,,Queensferry West,55.99064,-3.40782,Private room,100,1,2,2018-01-01,0.08,1,83
18264031,The Royal Mile Residence,646220,Reserve,,"Old Town, Princes Street and Leith Street",55.94949,-3.18586,Entire home/apt,130,3,0,,,90,331
18264171,Lovely central double bedroom with full en suite,126247230,Mary,,The Grange,55.93513,-3.1764,Private room,50,1,62,2019-06-16,2.37,2,307
18265186,Comfortable & central double room with en suite,126247230,Mary,,The Grange,55.93569,-3.17791,Private room,40,1,136,2019-06-23,5.15,2,294
18265876,"Comfortable, cosy, bright room in Edinburgh.",111160751,Joanna,,Boswall and Pilton,55.97081,-3.22761,Private room,30,3,37,2019-06-04,1.42,1,1
18266705,Spacious family home in residential area,11388592,Katherine,,Hyvots and Gilmerton,55.90733,-3.14409,Entire home/apt,90,3,2,2019-01-03,0.09,1,360
18266907,"Lovely converted whisky bond apartment, Edinburgh",14943395,Ursula,,Western Harbour and Leith Docks,55.97818,-3.17496,Entire home/apt,52,2,117,2019-06-17,4.71,1,234
18268056,Sunny no smoking flat in popular district,6853366,Siobhan,,Dalry and Fountainbridge,55.9397,-3.21762,Entire home/apt,40,2,66,2019-06-12,2.80,1,35
18269240,"Double bedroom, own bathroom & parking (Newington)",35020650,Juan & Pattie,,Newington and Dalkeith Road,55.93423,-3.17564,Private room,50,2,21,2018-08-21,0.81,1,3
18272002,TWO BED TWO TOILET + FREE CAR PARK,70889975,Tito,,The Shore and Constitution Street,55.97482,-3.16141,Entire home/apt,400,1,35,2019-05-27,1.37,6,347
18281945,The Cowgatehead Residence,646220,Reserve,,"Old Town, Princes Street and Leith Street",55.94892,-3.1927,Entire home/apt,131,3,2,2018-08-07,0.11,90,310
18282571,"Bright, contemporary Mews apartment",31022322,Sarah,,Stockbridge,55.9565,-3.21581,Entire home/apt,94,2,32,2019-06-10,1.24,1,331
18283402,The St Mary's Street Residence,646220,Reserve,,"Old Town, Princes Street and Leith Street",55.94941,-3.18315,Entire home/apt,131,3,3,2018-06-16,0.17,90,342
